index,starting_n,approx_digits,n_over_1e9
1,23159557,340,0.023160
2,117309848,372,0.117310
3,136584738,375,0.136585
4,218787064,385,0.218787
5,411784485,397,0.411784
6,423600750,398,0.423601
7,523331634,402,0.523332
8,640399031,406,0.640399
9,987980498,415,0.987980
10,1163461515,418,1.163462
11,1370439187,421,1.370439
12,1643105964,425,1.643106
13,1691581855,426,1.691582
14,1975860550,429,1.975861
15,1996430175,429,1.996430
16,2156109985,431,2.156110
17,2367719045,432,2.367719
18,2559344807,434,2.559345
19,2646631730,435,2.646632
20,2682956949,435,2.682957
21,2859276863,436,2.859277
22,2862155914,436,2.862156
23,2922108368,437,2.922108
24,3808591354,442,3.808591
25,3910149357,442,3.910149
26,3984049296,443,3.984049
27,4321302016,444,4.321302
28,4440836966,445,4.440837
29,4609300323,446,4.609300
30,4845913360,447,4.845913
31,4869383097,447,4.869383
32,4978135228,447,4.978135
33,5401172815,449,5.401173
34,5987250047,451,5.987250
35,6110261912,451,6.110262
36,6163335145,452,6.163335
37,6373860677,452,6.373861
38,6593670318,453,6.593670
39,6865526408,454,6.865526
40,7033432787,454,7.033433
41,7376926473,455,7.376926
42,7431664871,455,7.431665
43,7478608042,455,7.478608
44,7643906132,456,7.643906
45,8024906370,457,8.024906
46,8138254083,457,8.138254
47,8243699121,457,8.243699
48,8270587886,457,8.270588
49,8308943147,457,8.308943
50,8456172678,458,8.456173
51,8941368591,459,8.941369
52,9261909463,460,9.261909
53,9297881176,460,9.297881
54,9346865105,460,9.346865
55,9371853013,460,9.371853
56,9676031754,461,9.676032
57,9737440537,461,9.737441
58,9768693250,461,9.768693
59,9825401196,461,9.825401
60,9922591191,461,9.922591
61,10296982937,462,10.296983
62,10662913516,462,10.662914
63,10773495137,463,10.773495
64,11420977851,464,11.420978
65,12029456436,465,12.029456
66,12091789702,465,12.091790
67,12277912262,465,12.277912
68,12336065313,465,12.336065
69,12411596411,465,12.411596
70,12486439563,466,12.486440
71,12572336934,466,12.572337
72,12819052197,466,12.819052
73,12829342779,466,12.829343
74,13217014958,467,13.217015
75,13463731543,467,13.463732
76,13718894736,467,13.718895
77,13938346000,468,13.938346
78,14112459844,468,14.112460
79,14725126684,469,14.725127
80,14866257421,469,14.866257
81,14958002800,469,14.958003
82,15176444319,470,15.176444
83,15433872878,470,15.433873
84,16191706791,471,16.191707
85,16346563611,471,16.346564
