main_star_n,gap_k
52936366478,1122
52936366478,1770
52936366478,2262
52936366478,2940
52936366478,2988
53309481335,3720
53309481335,3780
53309481336,20
53309481336,158
53309481336,350
53309481337,660
53309481337,858
53309481337,1514
53309481337,2064
53309481337,4508
53309481338,1446
53309481338,4958
53632917015,572
53632917015,1922
53632917015,3158
53632917015,3500
53632917016,494
53632917016,644
53632917016,2904
53632917016,3752
53632917016,4874
53632917017,26
53632917017,776
53632917017,1736
53632917017,2006
53632917017,2300
53632917017,2450
53632917017,2894
53632917017,3644
53632917017,4098
53632917018,320
53632917018,1302
53632917018,2136
53967604267,1178
53967604267,2076
53967604267,2084
53967604267,2580
53967604267,2960
53967604267,4338
53967604268,98
53967604268,296
53967604268,602
53967604268,1760
53967604269,3360
53967604269,3398
53967604269,4220
53967604269,4538
53967604270,530
53967604270,1304
53967604270,2060
53967604270,4988
54546717954,2540
54546717954,3110
54546717955,440
54546717955,768
54546717955,2610
54546717955,2948
54546717955,4148
54546717955,4152
54546717955,4160
54546717955,4674
54546717955,4850
54546717956,1238
54546717956,1628
54546717956,2624
54546717956,2630
54546717956,3374
54546717956,3770
54546717957,1976
54546717957,2088
54546717957,4158
54546717957,4208
54546717957,4224
54655842235,600
54655842235,882
54655842235,1950
54655842235,3054
54655842235,3198
54655842235,4548
54655842235,4650
54655842236,840
54655842236,884
54655842236,1220
54655842236,3270
54655842236,4302
54655842236,4538
54655842237,1074
54655842237,1848
54655842237,2168
54655842237,2474
54655842237,2900
54655842237,3390
54655842238,192
54655842238,726
54655842238,756
54655842238,1508
54655842238,2448
54655842238,3662
54655842238,4310
54655842238,4938
54878514797,1620
54878514797,2468
54878514797,2690
54878514797,2904
54878514797,3260
54878514797,4644
54878514798,26
54878514798,1170
54878514798,3992
54878514798,4530
54878514799,564
54878514799,770
54878514799,1290
54878514799,2196
54878514799,2414
54878514799,2600
54878514800,1268
55109556141,14
55109556141,654
55109556141,2964
55109556141,3632
55109556142,1088
55109556142,1230
55109556143,192
55109556143,1098
55109556144,396
55109556144,686
55109556144,2336
55109556144,3750
55204294829,1650
55204294830,1580
55204294830,1908
55204294830,3000
55204294830,4032
55204294831,230
55204294831,368
55204294831,902
55204294831,3870
55204294831,4262
55204294832,1316
55204294832,1838
55204294832,2676
55204294832,3548
55204294832,4154
55204294832,4346
55634252193,102
55634252193,632
55634252193,1896
55634252193,2162
